日付,バット,利き腕,スイング条件,オンプレーンスコア,体とバットの角度スコア,体の回転による加速スコア,バットスピード (km/h),体の回転によるバットの加速の大きさ（初動） (G),オンプレーンの効率 (%),アッパースイング度 (°), 体とバットの角度（構え） (°), 体とバットの角度（インパクト） (°), バット角度 (°),パワー (kW),スイング時間 (秒),手の最大スピード (km/h),打球スピード (km/h),打球角度 (°),推定飛距離 (m),ExitVelocity,PitchBallVelocity,LaunchAngle,ExitDirection,Spin,Distance,SpinDirection,SpinConfidence,StrikeZoneX,StrikeZoneY,Contact Depth,BatName,SerialNumber,Unique ID,Video Url,Session Name,Player Name,DateTime
2025年 2月 5日 水曜日 08:45:59,baseball bat,右,Pitching Machine,41,58,32,69.2,3.2,56,-13,93,76,-30,1.11,0.21,20.9,,,,141.2,67.0,10.0,-8.9,850.706665039063,62.0,00:38:00,1.0,-20.3,69.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:45:48,baseball bat,右,Pitching Machine,48,58,51,101.7,10.2,63,8,91,75,-22,3.06,0.17,29.1,,,,140.6,69.8,8.3,1.0,992.700256347656,50.7,01:52:00,1.0,-6.9,103.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:45:26,baseball bat,右,Pitching Machine,50,58,51,102.5,10.2,66,5,90,76,-28,3.23,0.16,29.9,,,,156.4,71.3,10.9,-9.2,795.783142089844,70.3,00:24:00,1.0,-19.3,74.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:45:15,baseball bat,右,Pitching Machine,47,57,52,101.1,10.6,62,9,91,75,-25,3.1,0.16,27.7,,,,133,78.0,21.2,-4.7,1153.84252929688,87.7,00:40:00,1.0,-8.7,60.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:44:57,baseball bat,右,Pitching Machine,56,54,50,102.7,10.0,73,12,85,75,-30,3.12,0.17,30.3,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:44:47,baseball bat,右,Pitching Machine,42,56,32,66.8,3.2,57,-8,89,74,-29,0.99,0.22,20.3,,,,144.5,69.1,2.0,-5.2,2795.318359375,32.2,10:28:00,1.0,-18.6,102.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:44:37,baseball bat,右,Pitching Machine,45,44,31,52.8,2.7,61,-36,85,64,-26,0.56,0.24,17.9,,,,141.4,69.1,1.6,-17.4,9.99999974737875e-06,20.8,00:00:00,0.5,-4.6,110.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:44:27,baseball bat,右,Pitching Machine,49,59,52,99.0,10.5,64,12,93,76,-27,2.87,0.17,27.5,,,,143.6,71.3,11.7,1.4,3480.96533203125,76.5,00:48:00,1.0,-12.6,64.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:44:17,baseball bat,右,Pitching Machine,59,57,54,101.4,11.5,75,2,84,78,-35,3.37,0.15,31.7,,,,136.8,69.1,35.1,-33.5,1158.37414550781,101.9,01:26:00,1.0,-8.5,74.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:43:28,baseball bat,右,Pitching Machine,56,58,49,66.5,9.6,72,5,91,76,-24,1.25,0.17,29.6,,,,135.4,69.1,5.2,-25.2,2007.48913574219,37.4,00:14:00,1.0,-3.9,107.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:43:10,baseball bat,右,Pitching Machine,45,52,48,96.2,9.1,61,8,97,74,-17,2.65,0.17,25.6,,,,121.7,69.1,15.2,-10.9,2164.44067382813,54.4,02:06:00,1.0,-6.1,94.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:43:01,baseball bat,右,Pitching Machine,48,56,46,92.9,8.5,63,6,95,77,-24,2.38,0.18,27.4,,,,128.6,69.5,15.6,8.6,601.470642089844,60.2,11:58:00,1.0,9.5,85.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:42:52,baseball bat,右,Pitching Machine,52,56,48,96.6,9.3,68,10,93,75,-21,2.64,0.17,27.4,,,,126.3,71.3,16.3,-1.7,1921.51977539063,60.8,09:32:00,1.0,8.7,75.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:42:34,baseball bat,右,Pitching Machine,51,58,51,96.7,10.4,67,9,94,77,-22,2.7,0.17,28.0,,,,114,71.3,13.3,-12.4,1751.748046875,43.6,09:28:00,1.0,-7.1,97.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:42:25,baseball bat,右,Pitching Machine,52,59,47,90.1,8.8,68,-3,96,80,-33,2.33,0.17,25.3,,,,118.2,70.9,15.1,-14.3,1228.98046875,60.0,11:30:00,1.0,1.6,69.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:42:07,baseball bat,右,Pitching Machine,60,61,53,97.8,11.0,76,4,90,78,-28,2.95,0.16,29.8,,,,102.6,71.3,34.9,-21.3,9.99999974737875e-06,64.9,00:00:00,0.5,-2.3,84.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:41:59,baseball bat,右,Pitching Machine,41,55,46,90.6,8.3,57,6,98,79,-24,2.17,0.19,26.7,,,,121.7,71.3,13.4,-17.0,2507.21313476563,64.7,01:04:00,1.0,3.1,78.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:41:50,baseball bat,右,Pitching Machine,49,55,51,95.8,10.4,64,8,98,79,-20,2.72,0.17,25.9,,,,109.6,70.6,22.9,-5.0,2142.09106445313,63.0,10:30:00,1.0,-6.4,80.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:41:41,baseball bat,右,Pitching Machine,53,61,44,99.5,7.6,70,3,93,78,-30,2.79,0.17,29.8,,,,128.2,70.6,8.3,-3.1,1089.43347167969,43.4,10:00:00,1.0,7.2,70.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:41:32,baseball bat,右,Pitching Machine,60,56,50,97.8,10.0,77,3,86,76,-23,2.88,0.16,30.1,,,,114.7,71.3,14.4,16.2,1621.32922363281,54.9,10:34:00,1.0,9.0,41.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:40:47,baseball bat,右,Pitching Machine,45,56,37,89.6,4.9,60,4,97,79,-19,2.12,0.19,25.9,,,,110.1,71.3,2.5,15.5,2899.33862304688,24.8,10:36:00,1.0,-16.8,104.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:40:20,baseball bat,右,Pitching Machine,57,58,45,97.8,7.9,74,-1,88,75,-29,2.87,0.16,29.8,,,,105.4,105.8,30.9,-26.5,592.195678710938,65.5,11:26:00,1.0,-13.4,62.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:40:11,baseball bat,右,Pitching Machine,48,54,46,95.4,8.5,63,10,95,75,-17,2.52,0.18,26.2,,,,113.4,105.8,3.4,15.9,824.480407714844,23.5,00:40:00,1.0,-10.4,92.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:39:53,baseball bat,右,Pitching Machine,49,66,36,80.1,4.5,65,-5,92,81,-31,1.44,0.22,26.2,,,,113.6,105.8,15.8,-18.2,1880.95092773438,55.5,11:34:00,1.0,-3.8,65.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:39:44,baseball bat,右,Pitching Machine,49,54,44,95.1,7.8,65,8,88,72,-30,2.39,0.19,30.3,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:39:26,baseball bat,右,Pitching Machine,59,57,53,102.2,11.0,76,1,87,75,-30,3.34,0.15,30.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:39:08,baseball bat,右,Pitching Machine,44,53,39,93.8,5.7,60,8,97,76,-17,2.38,0.18,25.7,,,,112.5,64.8,13.3,-13.8,1689.91430664063,42.8,09:32:00,1.0,-7.5,90.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:38:26,baseball bat,左,Pitching Machine,59,75,52,95.0,10.7,75,4,91,85,-39,2.92,0.15,28.2,,,,120.3,64.8,36.4,8.3,832.929748535156,85.2,11:58:00,1.0,-11.4,56.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:38:09,baseball bat,左,Pitching Machine,48,63,51,87.2,10.5,63,9,97,84,-31,2.23,0.17,26.9,,,,121.1,62.1,-0.2,18.2,2186.31567382813,15.5,05:30:00,1.0,20.6,90.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:37:59,baseball bat,左,Pitching Machine,63,75,52,93.0,10.8,80,0,94,86,-37,2.88,0.15,27.7,,,,134.5,62.6,20.6,-10.2,2145.1044921875,82.8,10:40:00,1.0,3.9,80.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:37:49,baseball bat,左,Pitching Machine,55,63,56,95.6,12.1,72,7,100,87,-35,3.0,0.15,27.8,,,,114.5,62.6,23.0,-19.9,2546.31787109375,72.7,00:42:00,1.0,-6.1,67.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:37:38,baseball bat,左,Pitching Machine,51,63,53,88.2,10.9,67,11,91,79,-31,2.36,0.16,26.7,,,,120.5,62.6,28.8,0.8,283.530609130859,78.6,11:22:00,1.0,13.3,90.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:37:11,baseball bat,左,Pitching Machine,59,64,55,95.9,11.7,75,7,97,84,-32,3.02,0.15,27.7,,,,125.6,62.6,20.2,19.5,1322.52990722656,79.8,11:20:00,1.0,5.8,59.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:36:24,baseball bat,左,Pitching Machine,59,66,51,92.4,10.2,75,8,92,81,-34,2.66,0.16,27.0,,,,119.9,64.8,36.5,33.2,2652.97802734375,83.0,11:52:00,1.0,9.5,79.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:35:54,baseball bat,左,Pitching Machine,51,60,48,88.5,9.2,67,8,95,80,-29,2.27,0.17,25.7,,,,137.3,64.8,4.3,0.6,500.403045654297,29.9,10:04:00,1.0,1.3,59.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:35:36,baseball bat,左,Pitching Machine,61,61,54,93.7,11.6,77,4,100,85,-31,2.88,0.15,26.7,,,,108.5,62.6,15.3,38.9,690.597229003906,49.4,10:42:00,1.0,-25.8,117.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:35:26,baseball bat,左,Pitching Machine,58,63,52,92.7,10.8,74,7,95,82,-35,2.74,0.15,27.4,,,,125.6,64.8,17.8,24.4,824.776672363281,70.7,11:46:00,1.0,2.0,50.6,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:35:16,baseball bat,左,Pitching Machine,49,57,48,84.3,9.3,65,15,100,82,-37,2.06,0.17,25.1,,,,121.5,64.8,15.5,9.7,905.635498046875,60.7,11:46:00,1.0,-17.1,78.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:35:06,baseball bat,左,Pitching Machine,60,66,49,87.9,9.5,77,4,97,85,-33,2.4,0.16,26.6,,,,115.8,62.6,33.3,-1.6,2962.18188476563,80.6,00:22:00,1.0,-7.5,80.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:34:54,baseball bat,左,Pitching Machine,56,65,47,85.9,9.0,72,0,87,80,-38,2.24,0.16,24.9,,,,133.4,63.7,7.9,6.6,573.873107910156,41.5,09:08:00,1.0,-7.9,66.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:34:28,baseball bat,左,Pitching Machine,43,60,45,84.0,8.1,58,9,97,82,-28,1.86,0.19,24.5,,,,113.4,61.6,35.5,7.5,2369.90673828125,74.9,10:44:00,1.0,1.7,79.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:34:18,baseball bat,左,Pitching Machine,44,58,46,90.9,8.6,60,11,96,80,-32,2.31,0.18,25.7,,,,122,56.2,16.9,-10.5,2407.30102539063,59.7,10:08:00,1.0,-6.7,76.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:34:09,baseball bat,左,Pitching Machine,63,57,50,84.0,10.0,80,-2,101,84,-27,2.29,0.15,24.0,,,,108.9,56.2,27.6,11.5,1743.69311523438,72.4,11:22:00,1.0,16.3,85.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:33:44,baseball bat,左,Pitching Machine,56,56,48,87.1,9.2,72,5,98,80,-33,2.28,0.16,25.7,,,,115.7,58.3,28.6,7.4,1937.70153808594,78.0,10:58:00,1.0,-10.2,104.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:33:23,baseball bat,左,Pitching Machine,48,59,46,85.6,8.3,64,5,102,86,-36,2.08,0.17,25.7,,,,95.9,55.1,-0.8,13.2,1048.21594238281,12.1,06:42:00,1.0,9.9,127.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:32:59,baseball bat,左,Pitching Machine,51,62,48,84.2,9.2,67,9,100,86,-35,2.07,0.17,25.6,,,,125,59.7,23.2,15.0,936.070007324219,81.6,11:48:00,1.0,5.2,85.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:32:40,baseball bat,左,Pitching Machine,54,80,47,77.1,8.8,70,0,94,92,-37,1.66,0.18,25.4,,,,125.4,58.3,7.7,40.0,1313.14868164063,42.8,11:48:00,1.0,4.4,121.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:32:21,baseball bat,左,Pitching Machine,51,69,48,89.6,9.3,67,6,95,85,-32,2.33,0.17,24.6,,,,110.3,58.3,15.8,3.6,796.158081054688,51.7,10:04:00,1.0,3.4,86.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:32:11,baseball bat,左,Pitching Machine,61,67,48,83.4,9.1,77,2,96,85,-30,2.17,0.16,23.8,,,,114.6,77.8,39.6,-8.3,1998.43249511719,77.9,00:06:00,1.0,15.4,79.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:32:03,baseball bat,左,Pitching Machine,46,42,39,81.8,6.0,62,1,115,101,-34,1.66,0.2,22.7,,,,125.1,77.3,42.1,-4.5,526.456970214844,88.6,11:52:00,1.0,1.1,101.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:31:53,baseball bat,左,Pitching Machine,62,70,43,82.6,7.3,79,-6,89,83,-34,1.97,0.17,25.1,,,,123.2,76.5,47.4,1.8,1972.90100097656,80.4,00:00:00,1.0,-4.0,66.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 5日 水曜日 08:31:44,baseball bat,左,Pitching Machine,60,62,42,80.1,7.0,77,-12,87,79,-30,1.93,0.16,25.7,,,,127.2,76.5,28.0,-10.4,1424.62451171875,88.6,11:20:00,1.0,0.7,65.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:19:25,baseball bat,右,General Practice,52,59,73,107.2,18.8,68,0,81,82,-30,4.04,0.14,36.2,,,,143.6,75.6,14.0,-8.0,9.99999974737875e-06,71.8,00:00:00,0.5,3.9,67.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:19:11,baseball bat,右,General Practice,47,64,59,102.2,13.4,63,5,83,84,-32,3.25,0.16,34.1,,,,107.3,77.8,50.0,-19.3,9.99999974737875e-06,64.5,00:00:00,0.5,2.4,60.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:18:57,baseball bat,右,General Practice,48,58,69,103.6,17.2,64,0,81,82,-34,3.52,0.15,35.4,,,,128.4,77.8,11.2,2.1,1998.55224609375,62.5,11:52:00,1.0,9.9,81.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:18:21,baseball bat,右,General Practice,43,80,65,98.2,15.6,59,1,91,88,-25,3.12,0.15,35.4,,,,102.1,76.5,39.2,35.0,9.99999974737875e-06,63.7,00:00:00,0.5,26.6,78.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:18:07,baseball bat,右,General Practice,42,80,63,95.6,14.9,57,1,93,90,-26,2.92,0.15,35.1,,,,116.1,76.5,17.1,-23.8,9.99999974737875e-06,53.4,00:00:00,0.5,-7.3,45.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:17:54,baseball bat,右,General Practice,44,62,63,101.5,14.8,59,7,83,83,-25,3.21,0.16,34.1,,,,132.1,77.8,4.8,8.0,1623.57336425781,38.4,01:16:00,1.0,0.0,79.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:17:41,baseball bat,右,General Practice,41,80,62,101.4,14.5,56,6,92,86,-20,3.05,0.17,34.1,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:17:17,baseball bat,右,General Practice,47,80,55,88.4,11.8,62,5,93,87,-14,2.28,0.17,30.7,,,,121.6,75.6,27.8,-10.7,1011.74877929688,83.2,11:50:00,1.0,7.8,83.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:17:04,baseball bat,右,General Practice,43,80,72,104.4,18.3,59,0,91,89,-26,3.68,0.15,35.6,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:16:52,baseball bat,右,General Practice,37,79,66,102.8,16.1,51,6,89,86,-27,3.33,0.16,35.2,,,,104.4,77.8,38.9,25.6,9.99999974737875e-06,65.4,00:00:00,0.5,26.6,85.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:16:40,baseball bat,右,General Practice,42,72,78,108.1,20.5,57,8,88,84,-18,3.51,0.16,35.6,,,,107,77.8,20.3,12.7,1602.92456054688,61.3,11:02:00,1.0,17.7,50.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:16:26,baseball bat,右,General Practice,36,68,57,101.4,12.6,51,2,98,91,-17,3.29,0.15,34.6,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:16:11,baseball bat,右,General Practice,40,80,71,109.9,17.8,55,9,89,87,-25,3.72,0.16,36.9,,,,130.5,77.8,13.5,-4.7,1769.82409667969,64.8,11:24:00,1.0,1.1,79.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:15:44,baseball bat,右,General Practice,50,71,71,102.2,17.8,66,2,86,85,-21,3.42,0.15,36.2,,,,136.5,77.2,15.5,-1.2,3356.52856445313,78.4,01:16:00,1.0,-3.3,61.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:15:33,baseball bat,右,General Practice,40,73,65,95.1,15.5,55,-1,96,93,-26,2.93,0.15,34.8,,,,116.3,77.2,46.5,3.0,9.99999974737875e-06,77.9,00:00:00,0.5,2.7,64.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:15:20,baseball bat,右,General Practice,46,80,72,97.8,18.2,62,6,90,87,-17,2.98,0.16,34.9,,,,128.6,79.7,23.5,0.5,2303.02905273438,80.1,02:02:00,1.0,-0.2,38.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:15:08,baseball bat,右,General Practice,45,78,71,103.8,17.8,60,4,93,86,-13,3.53,0.15,34.1,,,,124,78.5,25.0,7.9,2069.29956054688,86.4,11:26:00,1.0,1.6,57.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:14:55,baseball bat,右,General Practice,37,61,59,99.6,13.4,52,2,101,94,-19,3.09,0.16,32.7,,,,136.3,81.2,14.8,5.3,1749.61682128906,62.8,02:30:00,1.0,6.2,63.1,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:14:05,baseball bat,右,General Practice,46,80,78,109.1,20.3,61,4,88,88,-28,3.86,0.15,38.0,,,,131.3,77.8,11.9,6.5,1372.78784179688,52.6,02:30:00,1.0,-4.7,59.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:13:29,baseball bat,右,General Practice,41,59,56,114.1,12.2,56,1,95,79,-28,4.65,0.14,33.8,,,,132.9,77.8,17.6,-4.1,965.090881347656,75.8,01:48:00,1.0,-2.2,68.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:13:19,baseball bat,右,General Practice,26,52,45,102.8,7.9,40,8,103,80,-14,3.43,0.15,30.9,,,,133.9,79.9,-0.2,-11.5,9.99999974737875e-06,11.3,00:00:00,0.5,14.1,42.3,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:12:59,baseball bat,右,General Practice,55,57,65,110.6,15.5,71,-4,98,81,-25,4.56,0.13,34.3,,,,133,79.9,-0.5,5.3,1125.7119140625,15.1,04:22:00,1.0,-8.9,80.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:12:49,baseball bat,右,General Practice,39,50,52,99.5,10.9,54,4,110,86,-17,3.33,0.15,30.4,,,,135.1,75.6,5.8,-28.0,2334.67797851563,48.0,00:18:00,1.0,-10.1,97.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:12:38,baseball bat,右,General Practice,30,52,52,110.9,10.6,44,9,102,79,-18,3.83,0.16,32.0,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:12:16,baseball bat,右,General Practice,40,59,52,110.1,10.8,55,2,98,82,-32,4.04,0.15,33.3,,,,109.8,98.6,18.2,17.5,2093.67944335938,55.2,10:14:00,1.0,-43.3,161.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:12:05,baseball bat,右,General Practice,39,61,51,112.7,10.4,54,5,97,82,-22,4.22,0.15,33.8,,,,144,75.6,7.8,-34.2,3310.39306640625,50.5,11:26:00,1.0,16.9,110.8,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:11:55,baseball bat,右,General Practice,47,61,51,108.1,10.2,63,0,99,84,-24,4.11,0.14,33.2,,,,114.6,76.0,13.8,3.0,1405.80114746094,49.6,02:24:00,1.0,3.4,77.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:11:34,baseball bat,右,General Practice,36,60,49,108.6,9.6,51,5,99,83,-24,3.92,0.15,33.2,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:11:24,baseball bat,右,General Practice,33,58,50,104.1,9.8,47,6,99,83,-15,3.42,0.16,31.4,,,,-,0.0,0.0,0.0,-,0.0,NaN:00,0.0,0.0,0.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:11:14,baseball bat,右,General Practice,37,64,38,85.5,5.6,52,4,85,82,-16,1.83,0.2,26.1,,,,127.8,77.8,17.2,-22.4,484.784881591797,70.7,00:10:00,1.0,12.5,78.9,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:11:13,baseball bat,右,General Practice,42,65,55,98.3,11.8,57,4,98,86,-20,3.26,0.15,30.9,,,,141.1,77.8,5.4,30.9,1269.72351074219,44.7,11:28:00,1.0,-7.9,124.5,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:11:01,baseball bat,右,General Practice,36,72,34,80.5,3.9,51,3,86,85,-17,1.59,0.2,24.6,,,,136.3,77.8,9.1,-4.2,1697.99267578125,48.5,09:46:00,1.0,16.8,104.0,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:10:52,baseball bat,右,General Practice,29,55,51,112.5,10.2,43,10,100,81,-28,4.0,0.16,33.6,,,,128.9,78.0,10.9,4.3,1130.63110351563,60.5,11:48:00,1.0,12.9,90.4,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:10:45,baseball bat,右,General Practice,41,64,30,80.0,2.4,56,4,84,83,-17,1.51,0.21,22.9,,,,130.6,78.0,13.9,6.8,1488.55395507813,71.6,11:22:00,1.0,14.0,76.7,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
2025年 2月 4日 火曜日 14:10:33,baseball bat,右,General Practice,40,80,25,55.2,0.5,55,2,89,87,-13,0.52,0.29,16.7,,,,122,76.5,29.6,4.8,3114.517578125,85.0,11:08:00,1.0,12.5,67.2,-,-,-,-,-,2/4bp,#1 熊田 任洋,2025-10-16
